Year,Site,Database_Name,OID_,Latitude,Longitude,County,Park_Size_Ha,AA_N,HL_N,IS_N,Total_N,M_Dragged,Tested,DIN_Bburg,DIN_Babesia,DIN_Ap,Occu_Predicted_ModelAverage,Occu_Predicted_Connectivity,Connect300v1_ParkBuffer1000,HU_Density_Km_Park1000,HU_Density_Km_Park500,HU_Density_Km_Park100,PCT_TCC_PARK_BUFFER1000,PCT_TCC_PARK_BUFFER500,PCT_TCC_PARK_BUFFER100,Prop_Water_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer1000,Prop_BarrenLand_ParkBuffer500,Prop_BarrenLand_ParkBuffer100,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,Road_Density_km_ParkBuffer100,Road_Density_km_ParkBuffer500,Road_Density_km_ParkBuffer1000,PCT_TCC_PARK,Predicted_Connectivity_Water,Predicted_cit,Occu_Predicted_TCC,Occu_Predicted_Impervious
2022,Trail View State Park,Trail View State Park,28,40.819796,-73.470548,Nassau,195.98,0,0,8,8,1500,13,0,0,0,0.994761452,0.999999906,110.776477,308.1424265,227.9729742,145.2771528,47.96824816,50.77916201,63.51090404,0.00938538,0.01621908,0.02121332,0.00015236,0,0,27.38364262,25.79250162,16.68378271,5234.265531,6790.28044,36629.6199,80.28,1,0.98,0.98,0.96
2022,Veterans Park,Knolls Park,35,40.88604,-73.31195,Suffolk,38.06,198,7,32,237,1600,32,0,3,1,0.906833836,0.836017942,43.18605683,2766.48875,1787.514872,744.2930912,48.37532161,51.14591535,64.30358875,0.000214408,0.00049213,0,0,0,0,21.36363636,18.95718504,11.73326867,7168.581555,15049.4548,92433.8643,66.97,0.9,0.93,0.98,0.97
2022,Whitney Pond Park,Whitney Pond County Park,24,40.7854411,-73.7024193,Nassau,10.53,0,0,2,2,1400,0,0,0,0,0.921475765,0.659906418,38.32999122,5136.905812,3323.77536,486.5825947,40.54841784,37.33116178,37.18348624,0.012581014,0.03420195,0.18042813,0,0,0,32.15916889,36.33116178,44.09480122,21417.44668,24431.161,89942.5137,39.44,1,0.71,0.73,0.73
2022,Willowbrook Park,Willowbrook Park,2,40.60156,-74.15831,Staten Island,66.76,10,60,7,77,700,8,0,0,0,0.014354564,0.104547407,24.201556,2476.702564,2335.960289,2075.561697,24.97364414,28.05057956,51.08766234,0.093826871,0.05268704,0.14772727,0,0,0,50.59540822,49.05005269,24.33279221,56236.61864,27006.702,325318.864,64.99,0,0.05,0.01,0.03
2023,Alley Pond Park,Alley Pond Park,3,40.74559,-73.737046,Queens,268.59,0,0,3,3,1600,3,0,0,0,0.374042215,0.044277852,12.80399833,1756.779112,1558.307353,761.8745454,27.89178781,32.66279505,46.1075784,0.041874593,0.07203072,0.16049652,0,0,0,51.19358863,46.42066317,31.11977352,11695.96398,14702.4349,62829.8179,59.49,0.49,0.07,0.09,0.06
2023,Breezy Park,Breezy Park,5,40.83893,-73.43496,Suffolk,4.41,0,2,10,12,1400,4,2.5,2.5,0,0.962963941,0.99928339,71.39384929,364.8663502,340.4045734,262.4233504,39.66001331,40.36905607,21.91256831,0.000443557,0,0,0.00266134,0,0,24.82767798,27.57345635,38.43169399,3378.572151,7365.26142,79860.9522,2.65,1,0.86,0.66,0.94
2023,Brookville Nature Park,Brookville Nature Park,4,40.811323,-73.547102,Nassau,9.54,0,0,237,237,1600,100,94.8,14.22,7.11,0.998402614,0.999999667,109.9787447,53.64886909,54.09378891,55.50552784,53.16845741,50.52973874,62.91373802,0.001726784,0.00111173,0,0.00019186,0,0,9.289140445,8.776542524,6.741214058,5996.046809,5247.99173,161249.242,63.75,1,1,1,1
2023,Christopher Morley Park,Christopher Morley Park,4,40.787156,-73.66235,Nassau,39.5,0,1,14,15,1600,14,2.000000001,0,0,0.945188486,0.866874968,37.97178896,233.3189819,230.7445283,229.2511835,43.4672086,47.42347449,50.26491647,0,0,0,0,0,0,36.53678699,31.48749583,25.96062053,8380.909306,8062.93037,53137.455,51.81,0.99,0.84,0.93,0.71
2023,Clark Botanic Gardens,Clark Botanic Gardens,4,40.772314,-73.639775,Nassau,5.49,0,7,0,7,1600,0,0,0,0,0.076210771,0.1525458,19.71075865,427.5283451,370.9807403,389.0693685,33.16517954,34.4122085,40.76884422,0,0,0,0,0,0,42.4570185,43.521262,39.48241206,11224.88646,10152.11,197918.734,60.38,0,0.29,0.34,0.37
2023,Clove Lakes Park,Clove Lakes Park,1,40.61914,-74.11499,Staten Island,80.08,2,2,62,66,1600,50,18.6,1.24,0,0.01252068,0.024016549,9.584126576,1637.990582,1417.258117,839.1093753,25.67778566,28.7417378,45.08994709,0.008922235,0.01510177,0.04563492,0.00202778,0.00021887,0.00E+00,51.0341681,46.90763843,27.1005291,7240.126456,13223.1119,94446.8968,61.1,0,0.05,0.04,0.07
2023,Cunningham Park I,Cunningham Park,3,40.728314,-73.766212,Queens,343.63,0,0,0,0,800,0,0,0,0,0.005967584,0.028520428,10.4823385,10292.26057,11278.74386,9303.101202,26.9260863,34.91942782,51.77861808,0.000455789,0.00087578,0.00206256,0,0,0,53.69097539,45.70456868,28.29872809,11773.34922,17512.1531,454194.418,13.58,0,0.02,0,0.04
2023,Cunningham Park II,Cunningham Park,3,40.74143,-73.76564,Queens,343.63,0,1,1,2,1600,1,1,0,0,0.005967584,0.028520428,10.4823385,10292.26057,11278.74386,9303.101202,26.9260863,34.91942782,51.77861808,0.000455789,0.00087578,0.00206256,0,0,0,53.69097539,45.70456868,28.29872809,11773.34922,17512.1531,454194.418,13.58,0,0.02,0,0.04
2023,Deere Park,Deere Park,1,40.60685,-74.10453,Staten Island,26.99,24,83,54,161,1700,50,8.64,0,0,0.148997409,0.562416015,29.71431222,61.81205259,60.57880044,61.11633697,37.8810803,40.21202186,60.32066869,0.005808044,0.0010929,0,0.0005808,0.0010929,0.00E+00,41.51648033,39.75591985,20.91793313,8099.977781,7249.01295,67709.2728,85.47,0,0.57,0.7,0.42
2023,Flushing Meadows Park,Flushing Meadows Corona Park,3,40.72217,-73.8306,Queens,206.32,0,0,0,0,1600,0,0,0,0,0.006755113,0.008163291,4.010678902,409.3059862,359.9830109,228.5292366,8.788851738,10.12138588,12.54410256,0.03929831,0.06582135,0.13452991,0.00036642,0.00056534,1.20E-03,70.6502542,65.87756421,54.95538462,9031.775876,7749.63317,209052.565,70.62,0,0.03,0.07,0
